"title","1depth","2depth","3depth","parent_community","depth","title_en","title_ko","title_ja","title_zh_hans","title_zh_hant","title_es","title_ru","title_ar"
"Music/Rhythm","게임","음악/리듬","","게임",2,"Music/Rhythm","음악/리듬","音楽/リズム","音乐/节奏","音樂/節奏","Música/ritmo","Музыка/ритм","الموسيقى/الإيقاع"
"Puzzle","게임","퍼즐","","게임",2,"Puzzle","퍼즐","パズル","谜","謎","rompecabezas","головоломка","لغز"
"Fear","게임","공포","","게임",2,"Fear","공포","恐れ","害怕","害怕","miedo","страх","يخاف"
"Indie","게임","인디","","게임",2,"Indie","인디","インディー","独立","獨立","Indie","Инди","إيندي"
"Manga/Annie","만화/애니","","","",1,"Manga/Annie","만화/애니","マンガ/アニー","漫画/安妮","漫畫/安妮","Manga/Annie","Манга/Энни","المانجا/آني"
"Comic Book","만화/애니","만화","","만화/애니",2,"Comic Book","만화","コミックブック","漫画书","漫畫書","libro cómico","комикс","كتاب الشخصيات"
"Animated Movie","만화/애니","애니메이션","","만화/애니",2,"Animated Movie","애니메이션","アニメ映画","动画片","動畫片","película animada","анимационный фильм","فيلم متحرك"
"Genuine/Drama","만화/애니","순정/드라마","","만화/애니",2,"Genuine/Drama","순정/드라마","本物/ドラマ","真正的/戏剧","真正的/戲劇","Genuino/drama","Подлинная/драма","حقيقية/دراما"
"Comic","만화/애니","코믹","","만화/애니",2,"Comic","코믹","漫画","漫画","漫畫","cómic","комикс","رسوم متحركة"
"Action/Martial Arts","만화/애니","액션/무협","","만화/애니",2,"Action/Martial Arts","액션/무협","アクション/武道","动作/武术","動作/武術","Acción/artes marciales","Действие/боевые искусства","أكشن/فنون القتال"
"Horror/Reasoning","만화/애니","공포/추리","","만화/애니",2,"Horror/Reasoning","공포/추리","ホラー/推論","恐怖/推理","恐怖/推理","Horror/razonamiento","Ужас/рассуждения","الرعب/التفكير"
"Fantasy/Sf","만화/애니","판타지/SF","","만화/애니",2,"Fantasy/Sf","판타지/SF","ファンタジー/sf","幻想/sf","幻想/sf","Fantasía/SF","Fantasy/SF","الخيال/SF"
"Sports","만화/애니","스포츠","","만화/애니",2,"Sports","스포츠","スポーツ","运动的","運動的","Deportes","виды спорта","رياضات"
"Basketball","만화/애니","스포츠","농구","만화/애니",3,"Basketball","농구","バスケットボール","篮球","籃球","baloncesto","баскетбол","كرة سلة"
"Baseball","만화/애니","스포츠","야구","만화/애니",3,"Baseball","야구","野球","棒球","棒球","béisbol","бейсбол","البيسبول"
"Soccer","만화/애니","스포츠","축구","만화/애니",3,"Soccer","축구","サッカー","足球","足球","fútbol","футбольный","كرة القدم"
"Tennis","만화/애니","스포츠","테니스","만화/애니",3,"Tennis","테니스","テニス","网球","網球","tenis","большой теннис","تنس"
"Badminton","만화/애니","스포츠","배드민턴","만화/애니",3,"Badminton","배드민턴","バドミントン","羽毛球","羽毛球","Bádminton","Бадминтон","تنس الريشة"
"Ping-Pong","만화/애니","스포츠","탁구","만화/애니",3,"Ping-Pong","탁구","卓球","乒乓","乒乓","Ping pong","Настольный теннис","بينج بونج"
"Volleyball","만화/애니","스포츠","배구","만화/애니",3,"Volleyball","배구","バレーボール","排球","排球","vóleibol","волейбол","الكرة الطائرة"
"Swimming","만화/애니","스포츠","수영","만화/애니",3,"Swimming","수영","水泳","游泳","游泳","nadar","плавание","سباحة"
"Boxing","만화/애니","스포츠","복싱","만화/애니",3,"Boxing","복싱","ボクシング","拳击","拳擊","boxeo","заниматься боксом","ملاكمة"
"Etc","만화/애니","스포츠","기타","만화/애니",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Web Toon","만화/애니","웹툰","","만화/애니",2,"Web Toon","웹툰","Web Toon","Web Toon","Web Toon","Web toon","Веб","ويب تون"
"Broadcast","방송","","","",1,"Broadcast","방송","放送","播送","播送","transmisión","транслировать","إذاعة"
"Tv","방송","TV","","방송",2,"Tv","TV","テレビ","电视","電視","TELEVISOR","ТВ","تلفزيون"
"Radio","방송","라디오","","방송",2,"Radio","라디오","無線","收音机","收音機","radio","радио","مذياع"
"Internet","방송","인터넷","","방송",2,"Internet","인터넷","インターネット","互联网","網際網路","Internet","Интернет","إنترنت"
"Newspaper/Magazine","방송","신문/잡지","","방송",2,"Newspaper/Magazine","신문/잡지","新聞/雑誌","报纸/杂志","報紙/雜誌","Periódico revista","Газета/журнал","مجلة صحيفة"
"Culture/Art","문화/예술","","","",1,"Culture/Art","문화/예술","文化/芸術","文化/艺术","文化/藝術","Cultura/arte","Культура/искусство","الثقافة/الفن"
"Theater","문화/예술","연극","","문화/예술",2,"Theater","연극","劇場","剧院","劇院","teatro","театр","مسرح"
"Musical/Opera","문화/예술","뮤지컬/오페라","","문화/예술",2,"Musical/Opera","뮤지컬/오페라","ミュージカル/オペラ","音乐/歌剧","音樂/歌劇","Musical/ópera","Музыкальная/опера","الموسيقية/الأوبرا"
"Dance/Dance","문화/예술","무용/댄스","","문화/예술",2,"Dance/Dance","무용/댄스","ダンス/ダンス","舞","舞","Baila Baila","Танец/танец","ارقص ارقص"
"Conversation","문화/예술","회화","","문화/예술",2,"Conversation","회화","会話","对话","對話","conversación","беседа","محادثة"
"Craft/Decorative Art","문화/예술","공예/장식미술","","문화/예술",2,"Craft/Decorative Art","공예/장식미술","クラフト/装飾アート","工艺/装饰艺术","工藝/裝飾藝術","Arte de artesanía/decorativo","Ремесло/декоративное искусство","فن الحرفة/الزخرفية"
"Sculpture/Pottery","문화/예술","조소/도예","","문화/예술",2,"Sculpture/Pottery","조소/도예","彫刻/陶器","雕塑/陶器","雕塑/陶器","Escultura/cerámica","Скульптура/Керамика","النحت/الفخار"
"Calligraphy","문화/예술","서예","","문화/예술",2,"Calligraphy","서예","書道","书法","書法","Caligrafía","Каллиграфия","فن الخط"
"Design","문화/예술","디자인","","문화/예술",2,"Design","디자인","デザイン","设计","設計","diseño","дизайн","تصميم"
"Graphic Design","문화/예술","디자인","그래픽 디자인","문화/예술",3,"Graphic Design","그래픽 디자인","グラフィックデザイン","平面设计","平面設計","Diseño gráfico","Графический дизайн","التصميم الجرافيكي"
"Web Design","문화/예술","디자인","웹 디자인","문화/예술",3,"Web Design","웹 디자인","ウェブデザイン","网页设计","網頁設計","diseño web","веб-дизайн","تصميم الويب"
"Package Design","문화/예술","디자인","패키지 디자인","문화/예술",3,"Package Design","패키지 디자인","パッケージデザイン","包装设计","包裝設計","Diseño del paquete","Дизайн упаковки","تصميم الطرد"
"Fashion Design","문화/예술","디자인","패션 디자인","문화/예술",3,"Fashion Design","패션 디자인","ファッションデザイン","时尚设计","時尚設計","Diseño de moda","Модный дизайн","تصميم الأزياء"
"Interior Design","문화/예술","디자인","인테리어 디자인","문화/예술",3,"Interior Design","인테리어 디자인","インテリア・デザイン","室内设计","室內設計","Diseño de interiores","Дизайн интерьера","تصميم داخلي"
"Industrial Design","문화/예술","디자인","산업 디자인","문화/예술",3,"Industrial Design","산업 디자인","工業デザイン","工业设计","工業設計","Diseño industrial","Индустриальный дизайн","التصميم الصناعي"
"Illustration","문화/예술","디자인","일러스트레이션","문화/예술",3,"Illustration","일러스트레이션","図","插图","插圖","Ilustración","Иллюстрация","توضيح"
"Animation Design","문화/예술","디자인","애니메이션 디자인","문화/예술",3,"Animation Design","애니메이션 디자인","アニメーションデザイン","动画设计","動畫設計","Diseño de animación","Анимационный дизайн","تصميم الرسوم المتحركة"
"Visual Design","문화/예술","디자인","비주얼 디자인","문화/예술",3,"Visual Design","비주얼 디자인","ビジュアルデザイン","视觉设计","視覺設計","Diseño visual","Визуальный дизайн","التصميم البصري"
"Industrial Production Design","문화/예술","디자인","산업 생산 디자인","문화/예술",3,"Industrial Production Design","산업 생산 디자인","工業生産設計","工业生产设计","工業生產設計","Diseño de producción industrial","Промышленное производство дизайн","تصميم الإنتاج الصناعي"
"Environmental Design","문화/예술","디자인","환경 디자인","문화/예술",3,"Environmental Design","환경 디자인","環境デザイン","环境设计","環境設計","Diseño ambiental","Экологический дизайн","تصميم بيئي"
"Design Editor","문화/예술","디자인","편집 디자인","문화/예술",3,"Design Editor","편집 디자인","デザインエディター","设计编辑","設計編輯","Editor de diseño","Редактор дизайна","محرر التصميم"
"Ui/Ux Design","문화/예술","디자인","UI/UX 디자인","문화/예술",3,"Ui/Ux Design","UI/UX 디자인","UI/UXデザイン","UI/UX设计","UI/UX設計","Diseño de UI/UX","Ui/ux дизайн","تصميم UI/UX"
"Product Design","문화/예술","디자인","프로덕트 디자인","문화/예술",3,"Product Design","프로덕트 디자인","製品デザイン","产品设计","產品設計","Diseño de producto","Дизайн продукта","تصميم المنتج"
"Etc","문화/예술","디자인","기타","문화/예술",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Construct","문화/예술","건축","","문화/예술",2,"Construct","건축","構成","构造","構造","construir","конструкция","بناء"
"Picture","문화/예술","사진","","문화/예술",2,"Picture","사진","写真","图片","圖片","imagen","картина","صورة"
"Art Museum/Museum","문화/예술","미술관/박물관","","문화/예술",2,"Art Museum/Museum","미술관/박물관","美術館/博物館","美术馆/博物馆","美術館/博物館","Museo/museo de arte","Художественный музей/музей","متحف/متحف فني"
"Movie","영화","","","",1,"Movie","영화","映画","电影","電影","película","фильм","فيلم"
"Drama/Romance","영화","드라마/로맨스","","영화",2,"Drama/Romance","드라마/로맨스","ドラマ/ロマンス","戏剧/浪漫","戲劇/浪漫","Drama/romance","Драма/Романтика","الدراما/الرومانسية"
"Comedy","영화","코미디","","영화",2,"Comedy","코미디","コメディ","喜剧","喜劇","comedia","комедия","كوميديا"
"Romantic Comedy","영화","코미디","로맨틱 코미디","영화",3,"Romantic Comedy","로맨틱 코미디","ラブコメ","浪漫喜剧","浪漫喜劇","Comedia romántica","Романтическая комедия","كوميديا ​​رومانسية"
"Comedy","영화","코미디","희극","영화",3,"Comedy","희극","コメディ","喜剧","喜劇","comedia","комедия","كوميديا"
"Black Comedy","영화","코미디","블랙 코미디","영화",3,"Black Comedy","블랙 코미디","ブラックコメディ","黑色喜剧","黑色喜劇","Comedia de humor negro","Черная комедия","الكوميديا ​​السوداء"
"Animated Movie","영화","코미디","애니메이션","영화",3,"Animated Movie","애니메이션","アニメ映画","动画片","動畫片","película animada","анимационный фильм","فيلم متحرك"
"Parody","영화","코미디","패러디","영화",3,"Parody","패러디","パロディー","模仿","模仿","parodia","пародия","محاكاة ساخرة"
"Etc","영화","코미디","기타","영화",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Action/Martial Arts","영화","액션/무협","","영화",2,"Action/Martial Arts","액션/무협","アクション/武道","动作/武术","動作/武術","Acción/artes marciales","Действие/боевые искусства","أكشن/فنون القتال"
"Horror/Thriller","영화","공포/스릴러","","영화",2,"Horror/Thriller","공포/스릴러","ホラー/スリラー","恐怖/惊悚片","恐怖/驚悚片","Horror/thriller","Ужас/триллер","الرعب/الإثارة"
"Sf/Fantasy","영화","SF/판타지","","영화",2,"Sf/Fantasy","SF/판타지","SF/ファンタジー","SF/幻想","SF/幻想","SF/Fantasía","SF/Fantasy","SF/Fantasy"
"Documentary","영화","다큐멘터리","","영화",2,"Documentary","다큐멘터리","ドキュメンタリー","记录","記錄","documental","документальный","وثائقي"
"Classic/History","영화","고전/역사","","영화",2,"Classic/History","고전/역사","クラシック/歴史","经典/历史","經典/歷史","Clásico/historia","Классика/История","الكلاسيكية/التاريخ"
"Indie/Art","영화","인디/예술","","영화",2,"Indie/Art","인디/예술","インディー/アート","独立/艺术","獨立/藝術","Indie/arte","Инди/искусство","إيندي/الفن"
"Film Production","영화","영화제작","","영화",2,"Film Production","영화제작","映画制作","电影制作","電影製作","Produccion de pelicula","Кинопроизводство","إنتاج سينمائي"
"Cinema/Theater","영화","영화관/극장","","영화",2,"Cinema/Theater","영화관/극장","映画/劇場","电影/剧院","電影/劇院","Cine/teatro","Кино/театр","السينما/المسرح"
"Film Festival/Criticism","영화","영화제/평론","","영화",2,"Film Festival/Criticism","영화제/평론","映画祭/批評","电影节/批评","電影節/批評","Festival de cine/crítica","Кинофестиваль/критика","مهرجان السينما/النقد"
"Music","음악","","","",1,"Music","음악","音楽","音乐","音樂","música","музыка","موسيقى"
"Ballade","음악","발라드","","음악",2,"Ballade","발라드","バラード","巴拉德","巴拉德","Balada","Баллада","Ballade"
"Hip -Hop/Dance","음악","힙합/댄스","","음악",2,"Hip -Hop/Dance","힙합/댄스","ヒップ - ホップ/ダンス","嘻哈/舞蹈","嘻哈/舞蹈","Danza hip hop","Бедра/танец","رقصة الهيب هوب"
"Pop/R&B","음악","팝/R&B","","음악",2,"Pop/R&B","팝/R&B","ポップ/R＆B","流行/R＆B","流行/R＆B","Pop/R&B","POP/R & B","البوب/R & B"
"Rock/Metal","음악","록/메탈","","음악",2,"Rock/Metal","록/메탈","ロック/メタル","岩石/金属","岩石/金屬","Rock metalico","Рок/Металл","موسيقى الروك/المعدن"
"Indie","음악","인디","","음악",2,"Indie","인디","インディー","独立","獨立","Indie","Инди","إيندي"
"Jazz/New Age","음악","재즈/뉴에이지","","음악",2,"Jazz/New Age","재즈/뉴에이지","ジャズ/ニューエイジ","爵士/新时代","爵士/新時代","Jazz/Nueva Era","Джаз/Новый Эйдж","موسيقى الجاز/العصر الجديد"
"Classic","음악","클래식","","음악",2,"Classic","클래식","クラシック","经典的","經典的","clásico","Классик","كلاسيكي"
"Vocal Music/Opera","음악","성악/오페라","","음악",2,"Vocal Music/Opera","성악/오페라","ボーカルミュージック/オペラ","声乐/歌剧","聲樂/歌劇","Música vocal/ópera","Вокальная музыка/опера","الموسيقى الصوتية/الأوبرا"
"Korean Traditional Music/Folklore","음악","국악/민속","","음악",2,"Korean Traditional Music/Folklore","국악/민속","韓国の伝統音楽/民間伝承","韩国传统音乐/民俗","韓國傳統音樂/民俗","Música/folklore tradicional coreano","Корейская традиционная музыка/фольклор","الموسيقى التقليدية الكورية/الفولكلور"
"Ost","음악","OST","","음악",2,"Ost","OST","ost","Ost","Ost","Ost","Ост","أوست"
"Theory/Review","음악","이론/평론","","음악",2,"Theory/Review","이론/평론","理論/レビュー","理论/评论","理論/評論","Teoría/revisión","Теория/обзор","النظرية/المراجعة"
"Composition/Lyrics","음악","작곡/작사","","음악",2,"Composition/Lyrics","작곡/작사","作曲/歌詞","作曲/歌词","作曲/歌詞","Composición/letra","Композиция/текст","تكوين/كلمات"
"Song/Performance","음악","노래/연주","","음악",2,"Song/Performance","노래/연주","歌/パフォーマンス","歌曲/表演","歌曲/表演","Canción/actuación","Песня/исполнение","أغنية/أداء"
"Concert","음악","콘서트","","음악",2,"Concert","콘서트","コンサート","音乐会","音樂會","concierto","концерт","حفلة موسيقية"
"Musical Instrument/Sheet Music","음악","악기/악보","","음악",2,"Musical Instrument/Sheet Music","악기/악보","楽器/楽譜","乐器/乐谱","樂器/樂譜","Instrumento musical/partitura","Музыкальный инструмент/ноты","آلة موسيقية/موسيقى ورقة"
"Music Video","음악","뮤직비디오","","음악",2,"Music Video","뮤직비디오","ミュージックビデオ","音乐视频","音樂視頻","Video musical","Клип","أغنية مصورة"
"Etc","음악","기타","","음악",2,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Fan Club","팬클럽","","","",1,"Fan Club","팬클럽","ファンクラブ","粉丝俱乐部","粉絲俱樂部","Club de fans","Фан-клуб","نادي المعجبين"
"Actor","팬클럽","배우","","팬클럽",2,"Actor","배우","俳優","演员","演員","actor","актер","الممثل"
"Male Actor","팬클럽","배우","남성 배우","팬클럽",3,"Male Actor","남성 배우","男性俳優","男演员","男演員","Actor masculino","Мужской актер","ممثل ذكر"
"Female Actor","팬클럽","배우","여성 배우","팬클럽",3,"Female Actor","여성 배우","女性俳優","女演员","女演員","Actor femenina","Женщина -актер","ممثلة انثى"
"Child Actor","팬클럽","배우","아역 배우","팬클럽",3,"Child Actor","아역 배우","子俳優","儿童演员","兒童演員","Actor infantil","Детский актер","ممثل الطفل"
"Movie","팬클럽","배우","영화","팬클럽",3,"Movie","영화","映画","电影","電影","película","фильм","فيلم"
"Drama","팬클럽","배우","드라마","팬클럽",3,"Drama","드라마","ドラマ","戏剧","戲劇","drama","драма","دراما"
"Documentary","팬클럽","배우","다큐","팬클럽",3,"Documentary","다큐","ドキュメンタリー","记录","記錄","Documental","Документальный","وثائقي"
"Theater","팬클럽","배우","연극","팬클럽",3,"Theater","연극","劇場","剧院","劇院","teatro","театр","مسرح"
"Musical","팬클럽","배우","뮤지컬","팬클럽",3,"Musical","뮤지컬","ミュージカル","音乐","音樂","musical","мюзикл","موسيقي"
"Opera","팬클럽","배우","오페라","팬클럽",3,"Opera","오페라","オペラ","歌剧","歌劇","ópera","опера","أوبرا"
"Etc","팬클럽","배우","기타","팬클럽",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Fan Club","팬클럽","","","",1,"Fan Club","팬클럽","ファンクラブ","粉丝俱乐部","粉絲俱樂部","Club de fans","Фан-клуб","نادي المعجبين"
"Musician","팬클럽","뮤지션","","팬클럽",2,"Musician","뮤지션","音楽家","音乐家","音樂家","músico","музыкант","موسيقي او عازف"
"K-Pop","팬클럽","뮤지션","K-POP","팬클럽",3,"K-Pop","K-POP","k-pop","k-pop","k-pop","K-pop","K-pop","K-pop"
"J-Pop","팬클럽","뮤지션","J-POP","팬클럽",3,"J-Pop","J-POP","j-pop","J-Pop","J-Pop","J-pop","J-Pop","J-pop"
"Billboard","팬클럽","뮤지션","빌보드","팬클럽",3,"Billboard","빌보드","ビルボード","广告牌","廣告牌","Cartelera","Billboard","لوحة"
"Ballade","팬클럽","뮤지션","발라드","팬클럽",3,"Ballade","발라드","バラード","巴拉德","巴拉德","Balada","Баллада","Ballade"
"Pop","팬클럽","뮤지션","팝","팬클럽",3,"Pop","팝","ポップ","流行音乐","流行音樂","Estallido","Поп","البوب"
"Lock","팬클럽","뮤지션","락","팬클럽",3,"Lock","락","ロック","锁","鎖","Cerrar","Замок","قفل"
"Hip Hop","팬클럽","뮤지션","힙합","팬클럽",3,"Hip Hop","힙합","ヒップホップ","嘻哈","嘻哈","Hip hop","Хип-хоп","هيب هوب"
"Edm","팬클럽","뮤지션","EDM","팬클럽",3,"Edm","EDM","EDM","EDM","EDM","EDM","Эдм","EDM"
"Jazz","팬클럽","뮤지션","재즈","팬클럽",3,"Jazz","재즈","ジャズ","爵士乐","爵士樂","jazz","джаз","موسيقى الجاز"
"Reggae","팬클럽","뮤지션","레게","팬클럽",3,"Reggae","레게","レゲエ","雷鬼","雷鬼","Reggae","Регги","الريغي"
"Metal","팬클럽","뮤지션","메탈","팬클럽",3,"Metal","메탈","金属","金属","金屬","metal","металл","معدن"
"R&B","팬클럽","뮤지션","R&B","팬클럽",3,"R&B","R&B","R＆B","R＆B","R＆B","R&B","R & B.","R&B"
"Model","팬클럽","모델","","팬클럽",2,"Model","모델","モデル","模型","模型","Modelo","Модель","نموذج"
"Sports Player","팬클럽","스포츠 선수","","팬클럽",2,"Sports Player","스포츠 선수","スポーツ選手","运动员","運動員","Deportista","Спортивный игрок","لاعب رياضي"
"Musician","팬클럽","음악가","","팬클럽",2,"Musician","음악가","音楽家","音乐家","音樂家","Músico","Музыкант","موسيقي او عازف"
"Entertainer","팬클럽","예능인","","팬클럽",2,"Entertainer","예능인","エンターテイナー","艺人","藝人","Artista","Артист","الفنان"
"Announcer","팬클럽","아나운서","","팬클럽",2,"Announcer","아나운서","アナウンサー","播音员","播音員","locutor","диктор","مذيع"
"Author","팬클럽","작가","","팬클럽",2,"Author","작가","著者","作者","作者","autor","автор","مؤلف"
"Etc","팬클럽","기타","","팬클럽",2,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Sports","스포츠","","","",1,"Sports","스포츠","スポーツ","运动的","運動的","Deportes","виды спорта","رياضات"
"Soccer","스포츠","축구","","스포츠",2,"Soccer","축구","サッカー","足球","足球","fútbol","футбольный","كرة القدم"
"Elp","스포츠","축구","ELP","스포츠",3,"Elp","ELP","エル・P","ELP","ELP","Pez","ELP","ايل ع"
"La Liga","스포츠","축구","라 리가","스포츠",3,"La Liga","라 리가","ラリーガ","西甲","西甲","la Liga","Ла Лига","ليجا"
"Serie A","스포츠","축구","세리에 A","스포츠",3,"Serie A","세리에 A","セリエa","意甲","意甲","serie A","Серия А.","دوري الدرجة الأولى"
"Bundesliga","스포츠","축구","분데스리가","스포츠",3,"Bundesliga","분데스리가","ブンデスリーガ","德甲","德甲","Bundesliga","Бундеслига","البوندسليجا"
"League 1","스포츠","축구","리그 1","스포츠",3,"League 1","리그 1","リーグ1","联赛1","聯賽1","Liga 1","Лига 1","الدوري 1"
"Brazilian Serie A","스포츠","축구","브라질 세리에 A","스포츠",3,"Brazilian Serie A","브라질 세리에 A","ブラジルのセリエa","巴西意甲","巴西意甲","Serie brasileña A","Бразильская серия А.","دوري الدراسية البرازيلية"
"Argentina Primera Division","스포츠","축구","아르헨티나 프리메라 디비시온","스포츠",3,"Argentina Primera Division","아르헨티나 프리메라 디비시온","アルゼンチンプリメラ部門","阿根廷Primera分部","阿根廷Primera分部","División de Primera Argentina","Аргентина ПРИМЕРА разделение","قسم الأرجنتين بريميرا"
"Liga Mx","스포츠","축구","Liga MX","스포츠",3,"Liga Mx","Liga MX","リーガMX","LIGA MX","LIGA MX","Liga MX","Лига MX","ليجا MX"
"K -League","스포츠","축구","K리그","스포츠",3,"K -League","K리그","K-リーグ","k-联合国","k-聯合國","K -LEAGUE","K -league","K -League"
"J League","스포츠","축구","J리그","스포츠",3,"J League","J리그","Jリーグ","J联赛","J聯賽","Liga J","J League","J League"
"Csl","스포츠","축구","CSL","스포츠",3,"Csl","CSL","CSL","CSL","CSL","CSL","CSL","CSL"
"Youth Soccer","스포츠","축구","유소년 축구","스포츠",3,"Youth Soccer","유소년 축구","ユースサッカー","青年足球","青年足球","Fútbol juvenil","Молодежный футбол","كرة القدم للشباب"
"Soccer","스포츠","축구","사회인 축구","스포츠",3,"Soccer","사회인 축구","サッカー","足球","足球","Fútbol","Футбольный","كرة القدم"
"Female Football","스포츠","축구","여성 축구","스포츠",3,"Female Football","여성 축구","女性フットボール","女足球","女足球","Fútbol femenino","Женский футбол","كرة قدم أنثى"
"Etc","스포츠","축구","기타","스포츠",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Baseball","스포츠","야구","","스포츠",2,"Baseball","야구","野球","棒球","棒球","béisbol","бейсбол","البيسبول"
"Mlb","스포츠","야구","MLB","스포츠",3,"Mlb","MLB","MLB","MLB","MLB","MLB","MLB","MLB"
"Kbo","스포츠","야구","KBO","스포츠",3,"Kbo","KBO","KBO","KBO","KBO","Kbo","Kbo","KBO"
"Npb","스포츠","야구","NPB","스포츠",3,"Npb","NPB","NPB","NPB","NPB","NPB","Npb","NPB"
"Cpbl","스포츠","야구","CPBL","스포츠",3,"Cpbl","CPBL","CPBL","CPBL","CPBL","CPBL","CPBL","CPBL"
"Lmb","스포츠","야구","LMB","스포츠",3,"Lmb","LMB","LMB","LMB","LMB","LMB","LMB","LMB"
"Lvbp","스포츠","야구","LVBP","스포츠",3,"Lvbp","LVBP","LVBP","LVBP","LVBP","LVBP","LVBP","LVBP"
"Youth Baseball","스포츠","야구","유소년 야구","스포츠",3,"Youth Baseball","유소년 야구","青少年野球","青年棒球","青年棒球","Béisbol juvenil","Молодежный бейсбол","البيسبول الشباب"
"Society Baseball","스포츠","야구","사회인 야구","스포츠",3,"Society Baseball","사회인 야구","社会野球","社会棒球","社會棒球","Béisbol de la sociedad","Общество бейсбол","مجتمع البيسبول"
"Female Baseball","스포츠","야구","여성 야구","스포츠",3,"Female Baseball","여성 야구","女性野球","女棒球","女棒球","Béisbol femenino","Женский бейсбол","بيسبول أنثى"
"Etc","스포츠","야구","기타","스포츠",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
